,sales_record_id,sales_order_id,created_date,created_time,last_updated_date,last_updated_time,sales_staff_id,counterparty_id,units_sold,unit_price,currency_id,design_id,agreed_payment_date,agreed_delivery_date,agreed_delivery_location_id
32,438,1025,2023-02-27,11:21:10.379000,2023-02-27,11:21:10.379000,10,4,34262,3.31,2,46,2023-03-02,2023-03-04,20
33,396,999,2023-02-23,17:01:10.301000,2023-02-23,17:01:10.301000,13,13,55314,3.22,2,7,2023-02-27,2023-02-27,25
34,448,947,2023-02-20,17:37:10.071000,2023-02-20,17:37:10.071000,12,17,34258,2.63,3,57,2023-02-22,2023-02-24,17
35,447,998,2023-02-23,16:35:09.876000,2023-02-23,16:35:09.876000,9,15,32897,3.85,1,52,2023-02-25,2023-02-27,9
36,398,995,2023-02-23,13:41:09.780000,2023-02-23,13:41:09.780000,4,19,65019,2.78,2,6,2023-02-26,2023-02-28,4
37,424,944,2023-02-20,16:22:09.810000,2023-02-20,16:22:09.810000,1,3,29085,3.46,2,72,2023-02-20,2023-02-22,21
38,445,974,2023-02-22,09:26:10.126000,2023-02-22,09:26:10.126000,9,15,90374,2.61,1,49,2023-02-22,2023-02-24,23
39,411,718,2023-02-07,11:41:10.001000,2023-02-07,11:41:10.001000,11,9,72263,2.47,3,26,2023-02-11,2023-02-09,27
40,429,889,2023-02-16,17:32:09.988000,2023-02-16,17:32:09.988000,19,2,88125,2.5,1,8,2023-02-20,2023-02-18,14
41,414,1045,2023-02-28,12:13:09.872000,2023-02-28,12:13:09.872000,12,14,59089,2.82,2,25,2023-03-01,2023-03-05,19
42,450,1022,2023-02-27,09:53:10.235000,2023-02-27,09:53:10.235000,6,8,75762,3.12,3,56,2023-03-03,2023-03-04,26
43,428,990,2023-02-23,11:53:10.048000,2023-02-23,11:53:10.048000,7,15,75918,2.52,1,36,2023-02-28,2023-02-23,29
44,1407,963,2023-02-21,15:11:10.960000,2023-02-21,15:11:10.960000,2,13,65596,3.84,3,5,2023-02-22,2023-02-26,9
45,440,1035,2023-02-27,15:46:10.174000,2023-02-27,15:46:10.174000,14,19,66327,2.68,2,48,2023-03-03,2023-03-05,22
46,415,1041,2023-02-28,09:53:09.999000,2023-02-28,09:53:09.999000,20,5,20114,3.36,1,27,2023-03-02,2023-03-07,13
47,425,1031,2023-02-27,13:57:10.119000,2023-02-27,13:57:10.119000,12,10,46456,3.48,3,37,2023-03-02,2023-03-05,16
48,410,1023,2023-02-27,10:25:10.145000,2023-02-27,10:25:10.145000,2,8,79353,2.3,3,29,2023-02-27,2023-03-02,24
49,420,763,2023-02-08,18:18:09.834000,2023-02-08,18:18:09.834000,2,10,44705,2.0,1,35,2023-02-09,2023-02-09,26
50,454,1030,2023-02-27,13:36:09.845000,2023-02-27,13:36:09.845000,5,13,54049,2.74,1,61,2023-02-28,2023-03-04,25
51,480,11,2022-11-07,15:53:10.153000,2022-11-07,15:53:10.153000,14,12,35227,3.41,2,9,2022-11-13,2022-11-08,13
52,394,608,2023-01-31,10:43:10.631000,2023-01-31,10:43:10.631000,14,18,11402,3.26,1,3,2023-02-01,2023-02-06,26
53,453,989,2023-02-23,10:50:09.925000,2023-02-23,10:50:09.925000,15,11,15414,2.14,1,58,2023-02-27,2023-02-24,6
54,442,955,2023-02-21,10:49:09.820000,2023-02-21,10:49:09.820000,10,14,13270,3.51,2,53,2023-02-22,2023-02-24,11
55,670,204,2022-12-28,15:44:10.398000,2022-12-28,15:44:10.398000,8,12,53163,3.14,3,24,2022-12-31,2023-01-03,6
56,435,1037,2023-02-27,16:51:10.265000,2023-02-27,16:51:10.265000,13,10,7266,2.3,3,45,2023-03-05,2023-03-06,4
57,413,1029,2023-02-27,13:16:10.237000,2023-02-27,13:16:10.237000,11,12,6649,2.11,3,22,2023-03-04,2023-03-04,19
58,474,4,2022-11-03,14:20:52.188000,2022-11-03,14:20:52.188000,10,16,32069,3.89,2,4,2022-11-07,2022-11-05,15
59,476,6,2022-11-04,11:37:10.341000,2022-11-04,11:37:10.341000,13,18,83908,3.99,3,3,2022-11-07,2022-11-04,17
60,477,7,2022-11-04,12:57:09.926000,2022-11-04,12:57:09.926000,11,10,65453,2.89,2,7,2022-11-09,2022-11-04,28
61,478,8,2022-11-04,13:45:10.306000,2022-11-04,13:45:10.306000,11,20,20381,2.22,2,2,2022-11-07,2022-11-06,8
62,481,12,2022-11-09,10:20:09.912000,2022-11-09,10:20:09.912000,8,12,7693,3.88,2,2,2022-11-11,2022-11-13,15
63,482,13,2022-11-09,15:16:10.492000,2022-11-09,15:16:10.492000,3,7,2845,2.97,3,7,2022-11-14,2022-11-16,2
64,483,14,2022-11-10,13:18:09.926000,2022-11-10,13:18:09.926000,11,5,82159,2.65,3,6,2022-11-14,2022-11-15,6
65,430,879,2023-02-16,12:32:10.164000,2023-02-16,12:32:10.164000,3,20,9180,3.0,1,38,2023-02-19,2023-02-19,10
66,479,10,2022-11-07,09:07:10.485000,2022-11-07,09:07:10.485000,16,12,61620,3.86,2,3,2022-11-10,2022-11-09,20
67,473,3,2022-11-03,14:20:52.188000,2022-11-03,14:20:52.188000,10,4,65839,2.91,3,4,2022-11-07,2022-11-06,19
68,472,2,2022-11-03,14:20:52.186000,2022-11-03,14:20:52.186000,19,8,42972,3.94,2,3,2022-11-08,2022-11-07,8
69,451,748,2023-02-08,13:36:09.954000,2023-02-08,13:36:09.954000,16,1,38687,3.53,2,60,2023-02-12,2023-02-09,18
70,431,1018,2023-02-24,18:59:09.930000,2023-02-24,18:59:09.930000,6,18,13237,2.48,3,42,2023-02-25,2023-02-26,13
71,466,1047,2023-02-28,13:51:09.906000,2023-02-28,13:51:09.906000,3,17,77012,3.33,2,73,2023-03-03,2023-03-06,21
72,468,1011,2023-02-24,11:21:10.305000,2023-02-24,11:21:10.305000,4,16,86846,3.18,2,77,2023-02-24,2023-02-26,3
73,401,1012,2023-02-24,12:10:10.268000,2023-02-24,12:10:10.268000,3,8,28067,2.5,1,10,2023-02-28,2023-02-28,13
74,395,1036,2023-02-27,16:34:10.065000,2023-02-27,16:34:10.065000,19,16,1280,2.19,1,4,2023-02-28,2023-03-04,22
75,463,970,2023-02-21,17:02:10.083000,2023-02-21,17:02:10.083000,9,4,66871,2.53,2,65,2023-02-26,2023-02-26,21
76,469,1020,2023-02-27,09:25:10.479000,2023-02-27,09:25:10.479000,8,17,53395,2.76,3,76,2023-02-27,2023-02-27,10
77,432,1042,2023-02-28,10:49:10.175000,2023-02-28,10:49:10.175000,8,16,76637,2.89,2,39,2023-03-03,2023-03-01,21
78,488,21,2022-11-17,11:47:09.942000,2022-11-17,11:47:09.942000,18,18,42135,3.63,3,5,2022-11-18,2022-11-18,27
79,465,982,2023-02-22,16:57:10.461000,2023-02-22,16:57:10.461000,10,20,38020,3.1,3,74,2023-02-25,2023-03-01,30
80,490,9,2022-11-04,15:42:10.886000,2022-11-04,15:42:10.886000,9,15,72808,3.44,2,9,2022-11-05,2022-11-10,29
81,470,1039,2023-02-27,18:06:09.785000,2023-02-27,18:06:09.785000,6,19,79142,3.35,3,79,2023-03-04,2023-03-05,28
82,467,1016,2023-02-24,15:07:10.221000,2023-02-24,15:07:10.221000,16,17,21728,2.93,2,75,2023-02-25,2023-02-26,19
83,416,983,2023-02-22,17:52:10.484000,2023-02-22,17:52:10.484000,3,2,68204,2.39,1,23,2023-02-25,2023-02-28,26
84,1366,913,2023-02-17,17:11:10.195000,2023-02-17,17:11:10.195000,11,17,88949,3.29,1,68,2023-02-18,2023-02-20,1
85,408,968,2023-02-21,15:47:09.902000,2023-02-21,15:47:09.902000,9,10,37996,2.49,3,21,2023-02-21,2023-02-22,17
86,421,1026,2023-02-27,12:26:10.251000,2023-02-27,12:26:10.251000,4,17,29715,2.8,3,18,2023-03-03,2023-03-05,15
87,464,1019,2023-02-27,08:59:10.633000,2023-02-27,08:59:10.633000,4,8,76196,3.9,2,71,2023-03-04,2023-02-28,19
88,441,1032,2023-02-27,14:27:10.564000,2023-02-27,14:27:10.564000,20,12,54373,2.07,2,1,2023-03-03,2023-03-01,18
89,409,965,2023-02-21,15:28:10.680000,2023-02-21,15:28:10.680000,2,14,81157,3.51,2,11,2023-02-22,2023-02-28,10
90,522,58,2022-12-05,18:21:10.132000,2022-12-05,18:21:10.132000,3,4,11604,2.03,2,15,2022-12-11,2022-12-09,9
91,523,60,2022-12-06,14:43:10.177000,2022-12-06,14:43:10.177000,6,11,95044,2.06,3,4,2022-12-11,2022-12-10,3
92,528,62,2022-12-08,16:43:09.858000,2022-12-08,16:43:09.858000,2,6,91717,3.99,2,4,2022-12-12,2022-12-12,6
93,499,27,2022-11-21,16:46:10.282000,2022-11-21,16:46:10.282000,15,15,42254,3.59,2,6,2022-11-25,2022-11-27,29
94,518,54,2022-12-02,12:21:09.764000,2022-12-02,12:21:09.764000,12,17,38661,3.87,3,2,2022-12-07,2022-12-04,22
95,512,47,2022-12-01,10:28:10.371000,2022-12-01,10:28:10.371000,7,4,94770,3.76,3,21,2022-12-05,2022-12-05,27
96,489,22,2022-11-17,17:13:10.235000,2022-11-17,17:13:10.235000,7,11,92468,2.7,2,4,2022-11-20,2022-11-20,19
97,514,49,2022-12-01,16:06:10.197000,2022-12-01,16:06:10.197000,11,5,99018,3.62,3,2,2022-12-01,2022-12-01,16
98,504,36,2022-11-28,10:34:10.317000,2022-11-28,10:34:10.317000,16,19,16624,2.18,3,15,2022-11-29,2022-12-03,18
99,519,55,2022-12-02,14:05:10.169000,2022-12-02,14:05:10.169000,7,6,55012,2.43,3,17,2022-12-06,2022-12-09,11
100,524,65,2022-12-09,18:44:10.313000,2022-12-09,18:44:10.313000,13,20,74696,2.0,2,29,2022-12-11,2022-12-11,24
101,525,61,2022-12-07,09:49:10.510000,2022-12-07,09:49:10.510000,17,19,78083,2.61,3,26,2022-12-11,2022-12-12,9
102,502,68,2022-12-12,10:12:10.163000,2022-12-12,10:12:10.163000,17,5,24572,3.96,2,13,2022-12-18,2022-12-17,26
103,535,70,2022-12-12,11:32:09.981000,2022-12-12,11:32:09.981000,9,12,88469,3.01,3,29,2022-12-15,2022-12-16,7
104,533,67,2022-12-12,09:24:12.874000,2022-12-12,09:24:12.874000,3,3,50043,3.46,2,3,2022-12-14,2022-12-13,16
105,526,33,2022-11-24,08:19:10.014000,2022-11-24,08:19:10.014000,6,7,12403,3.03,2,5,2022-11-24,2022-11-27,21
106,491,25,2022-11-18,12:27:09.924000,2022-11-18,12:27:09.924000,16,15,19231,2.45,2,4,2022-11-20,2022-11-22,12
107,534,69,2022-12-12,11:13:10.089000,2022-12-12,11:13:10.089000,5,11,4353,3.99,3,7,2022-12-17,2022-12-13,22
108,417,773,2023-02-09,12:04:10.069000,2023-02-09,12:04:10.069000,3,13,90441,2.41,2,19,2023-02-09,2023-02-14,21
109,495,28,2022-11-22,11:21:10.343000,2022-11-22,11:21:10.343000,13,10,69611,3.08,2,4,2022-11-26,2022-11-24,5
110,496,29,2022-11-22,12:23:10.271000,2022-11-22,12:23:10.271000,18,15,34227,2.88,3,5,2022-11-23,2022-11-28,15
111,493,26,2022-11-21,08:54:09.974000,2022-11-21,08:54:09.974000,17,13,74152,2.61,3,4,2022-11-24,2022-11-25,29
112,517,52,2022-12-02,09:21:10.173000,2022-12-02,09:21:10.173000,15,17,70084,2.28,2,13,2022-12-05,2022-12-08,8
113,486,18,2022-11-16,08:17:10.016000,2022-11-16,08:17:10.016000,20,17,93380,2.95,2,9,2022-11-20,2022-11-20,2
114,500,32,2022-11-23,16:24:10.261000,2022-11-23,16:24:10.261000,18,4,80203,3.4,2,10,2022-11-27,2022-11-26,27
115,503,23,2022-11-18,08:44:10.251000,2022-11-18,08:44:10.251000,12,10,84270,3.52,2,14,2022-11-19,2022-11-28,28
116,536,71,2022-12-12,12:55:10.296000,2022-12-12,12:55:10.296000,7,6,59409,3.68,2,25,2022-12-13,2022-12-16,7
117,513,48,2022-12-01,13:38:10.594000,2022-12-01,13:38:10.594000,11,5,32565,3.31,2,4,2022-12-04,2022-12-02,28
118,487,19,2022-11-16,09:05:10.336000,2022-11-16,09:05:10.336000,13,10,41878,2.29,2,13,2022-11-18,2022-11-17,15
119,509,43,2022-11-30,15:28:10.633000,2022-11-30,15:28:10.633000,7,19,36219,2.17,3,15,2022-12-04,2022-12-03,28
120,515,50,2022-12-01,16:23:10.180000,2022-12-01,16:23:10.180000,16,17,93352,3.04,2,3,2022-12-05,2022-12-07,10
121,516,51,2022-12-01,17:43:10.073000,2022-12-01,17:43:10.073000,3,15,10841,2.41,2,6,2022-12-02,2022-12-02,25
122,501,34,2022-11-24,08:22:10.200000,2022-11-24,08:22:10.200000,4,15,91411,3.92,3,9,2022-11-28,2022-11-29,21
123,539,74,2022-12-13,09:51:10.395000,2022-12-13,09:51:10.395000,3,20,90827,2.91,3,5,2022-12-18,2022-12-20,26
124,537,72,2022-12-12,17:50:10.202000,2022-12-12,17:50:10.202000,13,3,92491,3.17,3,9,2022-12-16,2022-12-17,14
125,461,1024,2023-02-27,11:11:09.697000,2023-02-27,11:11:09.697000,2,4,23710,3.26,3,69,2023-02-28,2023-03-02,19
126,531,53,2022-12-02,11:42:10.242000,2022-12-02,11:42:10.242000,12,11,90339,3.04,2,14,2022-12-03,2022-12-02,17
127,494,24,2022-11-18,11:32:10.363000,2022-11-18,11:32:10.363000,19,12,35424,3.75,3,13,2022-11-19,2022-11-20,28
128,529,63,2022-12-09,08:02:10.562000,2022-12-09,08:02:10.562000,15,14,45984,2.31,2,24,2022-12-10,2022-12-11,28
129,510,45,2022-11-30,17:56:10.354000,2022-11-30,17:56:10.354000,13,19,78543,3.93,2,17,2022-12-06,2022-12-02,10
130,497,30,2022-11-22,13:15:10.374000,2022-11-22,13:15:10.374000,16,12,39968,3.99,3,2,2022-11-28,2022-11-26,4
131,532,66,2022-12-12,09:09:10.195000,2022-12-12,09:09:10.195000,3,16,30889,3.07,3,22,2022-12-17,2022-12-15,11
132,507,41,2022-11-30,10:41:09.931000,2022-11-30,10:41:09.931000,16,8,64692,2.6,3,10,2022-12-01,2022-11-30,3
133,505,37,2022-11-29,12:16:10.126000,2022-11-29,12:16:10.126000,7,2,15341,2.98,3,12,2022-12-01,2022-12-04,10
134,521,57,2022-12-05,18:14:10.350000,2022-12-05,18:14:10.350000,6,20,52026,2.22,3,7,2022-12-06,2022-12-08,24
135,492,16,2022-11-14,15:32:10.333000,2022-11-14,15:32:10.333000,15,16,22626,2.55,3,4,2022-11-20,2022-11-20,29
136,498,31,2022-11-22,16:42:10.511000,2022-11-22,16:42:10.511000,14,8,30606,2.11,2,3,2022-11-23,2022-11-29,28
137,506,40,2022-11-30,10:11:10.435000,2022-11-30,10:11:10.435000,15,8,48999,3.46,3,16,2022-12-02,2022-12-03,30
138,520,56,2022-12-05,14:57:09.727000,2022-12-05,14:57:09.727000,9,4,73839,3.38,3,11,2022-12-09,2022-12-09,10
139,530,64,2022-12-09,11:53:10.299000,2022-12-09,11:53:10.299000,3,18,13798,2.86,3,16,2022-12-13,2022-12-12,8
140,1442,1050,2023-02-28,16:10:09.840000,2023-02-28,16:10:09.840000,15,15,22460,3.12,2,37,2023-03-04,2023-03-01,19
141,563,97,2022-12-15,10:54:10.487000,2022-12-15,10:54:10.487000,4,13,61590,3.8,3,13,2022-12-16,2022-12-16,2
142,605,139,2022-12-20,13:00:09.953000,2022-12-20,13:00:09.953000,3,5,91397,2.58,3,25,2022-12-24,2022-12-26,9
143,567,102,2022-12-15,12:35:10.412000,2022-12-15,12:35:10.412000,15,16,50853,3.57,2,5,2022-12-21,2022-12-21,27
144,599,133,2022-12-19,17:30:09.990000,2022-12-19,17:30:09.990000,5,12,12128,2.48,3,3,2022-12-24,2022-12-23,7
145,614,149,2022-12-21,13:04:10.487000,2022-12-21,13:04:10.487000,11,17,32009,3.03,3,4,2022-12-24,2022-12-25,9
146,586,39,2022-11-29,18:34:09.917000,2022-11-29,18:34:09.917000,9,17,21820,3.39,3,18,2022-12-03,2022-12-06,16
147,600,134,2022-12-19,18:21:09.890000,2022-12-19,18:21:09.890000,11,17,83525,3.0,3,25,2022-12-21,2022-12-23,18
148,544,44,2022-11-30,16:03:10.369000,2022-11-30,16:03:10.369000,8,2,95017,3.78,3,5,2022-12-04,2022-12-02,29
149,593,127,2022-12-19,14:35:09.905000,2022-12-19,14:35:09.905000,9,20,99645,3.69,3,25,2022-12-21,2022-12-26,10
150,613,148,2022-12-21,09:40:10.283000,2022-12-21,09:40:10.283000,15,9,72973,2.03,3,29,2022-12-26,2022-12-22,8
151,584,119,2022-12-16,16:12:10.264000,2022-12-16,16:12:10.264000,5,9,16470,2.96,2,25,2022-12-17,2022-12-16,11
152,581,116,2022-12-16,14:02:09.889000,2022-12-16,14:02:09.889000,12,16,46138,2.57,2,22,2022-12-18,2022-12-23,6
153,610,145,2022-12-20,18:31:09.920000,2022-12-20,18:31:09.920000,13,6,37047,2.84,3,4,2022-12-24,2022-12-24,9
154,590,124,2022-12-19,09:19:10.260000,2022-12-19,09:19:10.260000,2,11,11194,3.4,2,18,2022-12-20,2022-12-19,20
155,561,95,2022-12-14,17:47:10.159000,2022-12-14,17:47:10.159000,9,2,18635,3.75,2,20,2022-12-15,2022-12-17,19
156,574,109,2022-12-15,17:28:09.828000,2022-12-15,17:28:09.828000,20,15,71303,3.72,2,29,2022-12-17,2022-12-22,26
157,562,96,2022-12-15,08:41:10.174000,2022-12-15,08:41:10.174000,2,13,40943,2.44,2,23,2022-12-16,2022-12-21,16
158,543,59,2022-12-06,10:27:10.432000,2022-12-06,10:27:10.432000,16,19,84294,2.65,2,15,2022-12-10,2023-01-17,30
159,578,113,2022-12-16,09:48:09.915000,2022-12-16,09:48:09.915000,5,4,25871,2.68,3,27,2022-12-16,2022-12-21,30
160,602,136,2022-12-20,09:49:09.898000,2022-12-20,09:49:09.898000,13,4,90349,3.26,2,21,2022-12-26,2022-12-24,22
161,607,141,2022-12-20,14:32:10.475000,2022-12-20,14:32:10.475000,14,14,7711,2.54,2,21,2022-12-23,2022-12-23,22
162,592,126,2022-12-19,09:26:09.992000,2022-12-19,09:26:09.992000,14,5,52121,3.58,3,3,2022-12-22,2022-12-21,17
163,570,105,2022-12-15,15:16:10.785000,2022-12-15,15:16:10.785000,12,10,53042,3.2,2,10,2022-12-18,2022-12-16,29
164,594,128,2022-12-19,14:53:10.201000,2022-12-19,14:53:10.201000,19,12,30713,2.07,3,27,2022-12-20,2022-12-21,18
165,572,107,2022-12-15,16:20:10.267000,2022-12-15,16:20:10.267000,8,14,19463,3.85,2,4,2022-12-19,2022-12-21,12
166,550,83,2022-12-13,17:13:10.452000,2022-12-13,17:13:10.452000,18,4,88895,2.46,3,23,2022-12-14,2022-12-16,20
167,559,93,2022-12-14,17:22:10.534000,2022-12-14,17:22:10.534000,8,3,80804,3.02,2,15,2022-12-19,2022-12-19,8
168,566,101,2022-12-15,12:04:10.055000,2022-12-15,12:04:10.055000,17,10,64517,3.39,2,15,2022-12-17,2022-12-16,5
169,597,131,2022-12-19,16:17:10.281000,2022-12-19,16:17:10.281000,10,10,12838,2.99,2,17,2022-12-22,2022-12-26,8
170,459,978,2023-02-22,10:43:09.932000,2023-02-22,10:43:09.932000,14,2,54537,3.79,1,66,2023-02-23,2023-02-25,16
171,571,106,2022-12-15,16:01:09.961000,2022-12-15,16:01:09.961000,4,11,86024,3.87,2,30,2022-12-18,2022-12-16,9
172,577,112,2022-12-16,08:03:10.257000,2022-12-16,08:03:10.257000,16,4,66027,3.6,3,24,2022-12-18,2022-12-19,22
173,568,103,2022-12-15,13:08:10.552000,2022-12-15,13:08:10.552000,16,19,87410,2.89,3,26,2022-12-17,2022-12-18,17
174,609,144,2022-12-20,18:24:10.375000,2022-12-20,18:24:10.375000,14,9,19781,3.77,3,14,2022-12-22,2022-12-27,18
175,551,84,2022-12-13,18:29:10.133000,2022-12-13,18:29:10.133000,10,7,29224,3.27,2,12,2022-12-17,2022-12-19,16
176,596,130,2022-12-19,16:07:10.439000,2022-12-19,16:07:10.439000,20,16,51394,2.43,3,30,2022-12-22,2022-12-22,5
177,554,88,2022-12-14,10:02:10.137000,2022-12-14,10:02:10.137000,18,16,58820,2.74,2,11,2022-12-16,2022-12-15,26
178,601,135,2022-12-20,09:29:10.154000,2022-12-20,09:29:10.154000,4,18,58712,2.31,3,25,2022-12-25,2022-12-22,24
179,589,123,2022-12-19,08:22:10.272000,2022-12-19,08:22:10.272000,6,12,4779,3.61,3,7,2022-12-23,2022-12-24,5
180,576,111,2022-12-15,18:50:10.148000,2022-12-15,18:50:10.148000,12,10,73786,3.58,2,19,2022-12-17,2022-12-20,14
181,547,78,2022-12-13,15:17:10.259000,2022-12-13,15:17:10.259000,19,9,10674,3.37,3,17,2022-12-18,2022-12-14,28
182,569,104,2022-12-15,13:23:10.138000,2022-12-15,13:23:10.138000,5,3,65639,2.22,3,23,2022-12-20,2022-12-17,10
183,541,20,2022-11-17,09:52:10.749000,2022-11-17,09:52:10.749000,9,17,41059,2.96,2,12,2022-11-19,2022-12-22,26
184,564,98,2022-12-15,10:57:09.998000,2022-12-15,10:57:09.998000,20,13,27752,2.68,3,7,2022-12-16,2022-12-17,8
185,549,82,2022-12-13,15:52:09.823000,2022-12-13,15:52:09.823000,11,15,70466,2.34,2,24,2022-12-13,2022-12-17,9
186,595,129,2022-12-19,15:07:09.986000,2022-12-19,15:07:09.986000,7,19,50734,2.22,2,34,2022-12-22,2022-12-21,2
187,608,143,2022-12-20,18:01:09.960000,2022-12-20,18:01:09.960000,8,13,92063,2.29,3,17,2022-12-23,2022-12-22,12
188,606,140,2022-12-20,14:21:10.130000,2022-12-20,14:21:10.130000,20,20,26513,2.6,2,10,2022-12-23,2022-12-26,10
189,582,117,2022-12-16,14:10:10.425000,2022-12-16,14:10:10.425000,14,17,81108,2.62,2,35,2022-12-20,2022-12-19,25
190,546,77,2022-12-13,13:05:09.885000,2022-12-13,13:05:09.885000,7,12,1086,3.14,3,13,2022-12-15,2022-12-16,15
191,580,115,2022-12-16,11:49:09.855000,2022-12-16,11:49:09.855000,17,18,95003,3.74,3,12,2022-12-18,2022-12-18,18
192,587,121,2022-12-16,18:51:10.388000,2022-12-16,18:51:10.388000,18,5,90219,3.96,2,26,2022-12-22,2022-12-17,8
193,579,114,2022-12-16,11:38:10.374000,2022-12-16,11:38:10.374000,20,15,59526,2.01,2,17,2022-12-20,2022-12-19,30
194,603,137,2022-12-20,10:00:10.389000,2022-12-20,10:00:10.389000,15,20,5051,2.54,3,30,2022-12-22,2022-12-22,19
195,611,146,2022-12-21,08:28:09.977000,2022-12-21,08:28:09.977000,16,16,51722,2.51,3,13,2022-12-26,2022-12-22,25
196,575,110,2022-12-15,18:27:10.202000,2022-12-15,18:27:10.202000,7,8,55169,2.94,3,30,2022-12-19,2022-12-20,12
197,556,90,2022-12-14,10:21:10.105000,2022-12-14,10:21:10.105000,3,5,4797,2.86,2,24,2022-12-19,2022-12-15,15
198,555,89,2022-12-14,10:12:10.357000,2022-12-14,10:12:10.357000,8,4,31543,2.15,2,23,2022-12-19,2022-12-20,17
